GPU	Run	Measurement	Duration	Speedup
TitanX Maxwell	2	parallel	0.00964332	4.629401492432067
TitanX Maxwell	3	sequential	0.075864	1.0
TitanX Maxwell	3	kernel	0.00220905	34.34236436477219
TitanX Maxwell	3	memory	0.00815973	9.297366456978356
TitanX Maxwell	3	parallel	0.010368780000000001	7.316579192537597
TitanX Maxwell	4	sequential	0.0777945	1.0
TitanX Maxwell	4	kernel	0.00238328	32.64177939646202
TitanX Maxwell	4	memory	0.00762368	10.20432389607119
TitanX Maxwell	4	parallel	0.01000696	7.774039268669006
TitanX Pascal	1	sequential	0.0521804	1.0
TitanX Pascal	1	kernel	0.00156475	33.34743569260265
TitanX Pascal	1	memory	0.00779671	6.6926177836549
TitanX Pascal	1	parallel	0.00936146	5.573959617410105
TitanX Pascal	2	sequential	0.0753945	1.0
TitanX Pascal	2	kernel	0.00156053	48.313393526558286
TitanX Pascal	2	memory	0.0118695	6.351952483255403
TitanX Pascal	2	parallel	0.013430029999999999	5.61387428025105
TitanX Pascal	3	sequential	0.0469106	1.0
TitanX Pascal	3	kernel	0.00155949	30.08073152120244
TitanX Pascal	3	memory	0.00954675	4.913776939796265
TitanX Pascal	3	parallel	0.01110624	4.223805716426081
TitanX Pascal	4	sequential	0.0728383	1.0
TitanX Pascal	4	kernel	0.00154493	47.14666683927427
TitanX Pascal	4	memory	0.0120003	6.069706590668566
TitanX Pascal	4	parallel	0.01354523	5.377413303428587
TitanX Pascal	5	sequential	0.0469576	1.0
TitanX Pascal	5	kernel	0.00156116	30.078659458351485
TitanX Pascal	5	memory	0.00840698	5.585549150824672
TitanX Pascal	5	parallel	0.00996814	4.710768508467979
TitanX Pascal	6	sequential	0.0470574	1.0
TitanX Pascal	6	kernel	0.00155922	30.18009004502251
TitanX Pascal	6	memory	0.00790203	5.955102676147774
TitanX Pascal	6	parallel	0.009461250000000001	4.973697978596908
TitanX Pascal	7	sequential	0.0784248	1.0
TitanX Pascal	7	kernel	0.00155641	50.38826530284437
TitanX Pascal	7	memory	0.00773582	10.137878078859126
TitanX Pascal	7	parallel	0.00929223	8.439825531653865
TitanX Pascal	8	sequential	0.0719226	1.0
TitanX Pascal	8	kernel	0.00155222	46.335313293218746
TitanX Pascal	8	memory	0.00825082	8.717024489687086
TitanX Pascal	8	parallel	0.00980304	7.336764921901777
TitanX Pascal	9	sequential	0.0550224	1.0
TitanX Pascal	9	kernel	0.00155614	35.358258254398706
TitanX Pascal	9	memory	0.00772808	7.119802072442314
TitanX Pascal	9	parallel	0.00928422	5.92644293220109
