buffer_size	input_size	time_s
16	12000	2.181021e+00
16	13000	2.507210e+00
16	13000	2.540570e+00
16	13000	2.534101e+00
16	13000	2.602457e+00
16	13000	2.561429e+00
16	14000	3.031286e+00
16	14000	2.902067e+00
16	14000	3.126178e+00
16	14000	3.107828e+00
16	14000	2.904378e+00
16	15000	4.034763e+00
16	15000	3.270600e+00
16	15000	3.580133e+00
16	15000	3.515095e+00
16	15000	3.407585e+00
16	16000	3.868930e+00
16	16000	4.091851e+00
16	16000	4.180478e+00
16	16000	3.727911e+00
16	16000	3.908403e+00
16	17000	5.134549e+00
16	17000	4.257984e+00
16	17000	4.894748e+00
16	17000	4.428245e+00
16	17000	4.156097e+00
16	18000	5.231359e+00
16	18000	5.584442e+00
16	18000	5.110484e+00
16	18000	5.537708e+00
16	18000	5.981766e+00
16	19000	7.867055e+00
16	19000	5.802221e+00
16	19000	6.206113e+00
16	19000	5.590045e+00
16	19000	6.247412e+00
16	20000	1.333301e+01
16	20000	8.895270e+00
16	20000	1.011051e+01
16	20000	6.570669e+00
16	20000	9.653117e+00
16	21000	8.397407e+00
16	21000	1.090312e+01
16	21000	6.639656e+00
16	21000	6.878430e+00
16	21000	7.042011e+00
16	22000	1.205522e+01
16	22000	1.188321e+01
16	22000	1.190651e+01
16	22000	8.761637e+00
16	22000	8.344013e+00
16	23000	2.204243e+01
16	23000	9.076003e+00
16	23000	9.579825e+00
16	23000	9.727099e+00
16	23000	1.237462e+01
16	24000	1.417194e+01
16	24000	1.959076e+01
16	24000	1.375279e+01
16	24000	2.031444e+01
16	24000	1.146975e+01
16	25000	1.999562e+01
16	25000	2.265049e+01
16	25000	1.901266e+01
16	25000	1.460674e+01
16	25000	2.822510e+01
16	26000	1.620383e+01
16	26000	2.808723e+01
16	26000	2.489842e+01
16	26000	2.715290e+01
16	26000	2.090492e+01
16	27000	2.710773e+01
16	27000	2.582353e+01
16	27000	2.483682e+01
16	27000	2.056863e+01
16	27000	2.219918e+01
16	28000	2.276210e+01
16	28000	3.058778e+01
16	28000	3.130134e+01
16	28000	3.154884e+01
16	28000	2.591843e+01
16	28000	3.081518e+01
16	28000	2.516241e+01
16	28000	3.000389e+01
16	29000	2.341262e+01
16	29000	2.289743e+01
16	29000	2.639642e+01
16	29000	2.600272e+01
16	29000	3.917151e+01
32	1000	6.543938e-02
32	1000	4.962581e-02
32	1000	4.698032e-02
32	1000	4.522429e-02
32	1000	4.547392e-02
32	2000	1.209574e-01
32	2000	1.186907e-01
32	2000	1.197135e-01
32	2000	1.282804e-01
32	2000	1.188078e-01
32	3000	1.946115e-01
32	3000	1.938069e-01
32	3000	1.842349e-01
32	3000	1.811802e-01
32	3000	1.916229e-01
32	4000	2.659426e-01
32	4000	2.686271e-01
32	4000	2.836610e-01
32	4000	2.549373e-01
32	4000	2.741841e-01
32	5000	3.844592e-01
32	5000	3.971970e-01
32	5000	3.848348e-01
32	5000	4.031197e-01
32	5000	3.587557e-01
32	6000	4.883916e-01
32	6000	5.451874e-01
32	6000	4.903379e-01
32	6000	4.982906e-01
32	6000	4.896761e-01
32	7000	6.233196e-01
32	7000	6.572982e-01
32	7000	6.462862e-01
32	7000	6.541475e-01
32	7000	6.113642e-01
32	8000	8.523349e-01
32	8000	8.771043e-01
32	8000	7.673744e-01
32	8000	8.012819e-01
32	8000	7.602172e-01
32	9000	9.222222e-01
32	9000	9.128222e-01
32	9000	9.987170e-01
32	9000	9.620714e-01
32	9000	9.852451e-01
32	10000	1.188396e+00
32	10000	1.167305e+00
32	10000	1.138657e+00
32	10000	1.089687e+00
32	10000	1.139116e+00
32	11000	1.377579e+00
32	11000	1.355549e+00
32	11000	1.357541e+00
32	11000	1.281029e+00
32	11000	1.358618e+00
32	12000	1.569205e+00
32	12000	1.553334e+00
32	12000	1.736212e+00
32	12000	1.496728e+00
32	12000	1.558219e+00
32	13000	1.881491e+00
32	13000	2.040256e+00
32	13000	1.937346e+00
32	13000	1.882815e+00
32	13000	1.750356e+00
32	14000	2.076545e+00
32	14000	2.179538e+00
32	14000	2.184731e+00
32	14000	2.050273e+00
32	14000	2.130550e+00
32	15000	2.284668e+00
32	15000	2.450848e+00
32	15000	2.397688e+00
32	15000	2.745689e+00
32	15000	2.303376e+00
32	16000	2.684809e+00
32	16000	2.645801e+00
32	16000	2.658488e+00
32	16000	3.163670e+00
32	16000	2.694261e+00
32	17000	3.025978e+00
32	17000	3.225531e+00
32	17000	3.084440e+00
32	17000	2.984039e+00
32	17000	2.956217e+00
32	18000	3.376145e+00
32	18000	3.348017e+00
32	18000	3.505216e+00
32	18000	3.336178e+00
32	18000	3.362489e+00
32	19000	4.270764e+00
32	19000	3.699187e+00
32	19000	3.711990e+00
32	19000	3.667637e+00
32	19000	3.951169e+00
32	20000	4.526587e+00
32	20000	4.069468e+00
32	20000	4.182514e+00
32	20000	4.460577e+00
32	20000	4.154780e+00
32	21000	4.418764e+00
32	21000	4.463335e+00
32	21000	4.434131e+00
32	21000	5.117922e+00
32	21000	4.738615e+00
32	22000	6.086828e+00
32	22000	5.553182e+00
32	22000	5.533020e+00
32	22000	4.952688e+00
32	22000	5.096850e+00
32	23000	5.922104e+00
32	23000	5.560476e+00
32	23000	5.566167e+00
32	23000	5.406833e+00
32	23000	6.093446e+00
32	24000	6.575778e+00
32	24000	8.171185e+00
32	24000	8.561724e+00
32	24000	6.472521e+00
32	24000	9.275961e+00
32	25000	6.942710e+00
32	25000	1.132629e+01
32	25000	6.918165e+00
32	25000	1.583816e+01
32	25000	2.214276e+01
32	26000	7.897930e+00
32	26000	8.064197e+00
32	26000	1.840048e+01
32	26000	7.231282e+00
32	26000	8.983748e+00
32	27000	1.588175e+01
32	27000	2.117480e+01
32	27000	9.434210e+00
32	27000	1.097177e+01
32	27000	9.343783e+00
32	28000	1.479012e+01
32	28000	2.309605e+01
32	28000	1.093114e+01
32	28000	1.065749e+01
32	28000	1.464817e+01
32	29000	1.396641e+01
32	29000	2.069867e+01
32	29000	1.349103e+01
32	29000	1.449448e+01
32	29000	2.567628e+01
