strategy	n_threads	n_cols	n_rows	iterations	min	max	diff	avg	time	flops
pth	2	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.219700e+00	9.850197e+09	
omp	2	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	1.055132e+00	1.138652e+10	
seq	2	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.482044e+00	8.106566e+09	
pth	2	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	1.122907e+00	1.069927e+10	
omp	2	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	9.840671e-01	1.220881e+10	
seq	2	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	3.158028e+00	7.608727e+09	
pth	2	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	2.113501e+00	1.136909e+10	
omp	2	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	2.139587e+00	1.123047e+10	
seq	2	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	2.876575e+00	8.353188e+09	
pth	2	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	2.010234e+00	1.195312e+10	
omp	2	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.921962e+00	1.250210e+10	
seq	2	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	1.670849e+01	7.190528e+09	
pth	2	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	7.279700e+00	1.650382e+10	
omp	2	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	8.508368e+00	1.412055e+10	
seq	2	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.804526e+01	5.458232e+09	
pth	2	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.931531e+01	5.380616e+09	
omp	2	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	5.132999e+01	9.362390e+09	
pth	4	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	3.911480e-01	1.535772e+09	
omp	4	50	100	10000	2.623901e+01	7.842270e+01	1.601055e-03	6.680352e+01	1.311023e-01	4.582029e+09	
pth	4	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	3.282069e-01	1.830291e+09	
omp	4	100	50	10000	2.250827e+01	8.879608e+01	1.966097e-03	5.759763e+01	1.018244e-01	5.899514e+09	
pth	4	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	3.894470e-01	6.169920e+09	
omp	4	100	200	10000	2.067515e+01	9.723871e+01	1.468212e-03	7.848964e+01	1.948440e-01	1.233221e+10	
pth	4	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	4.106949e-01	5.850710e+09	
omp	4	200	100	10000	2.177842e+01	9.890898e+01	1.457562e-03	7.282127e+01	2.217889e-01	1.083398e+10	
pth	4	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	8.321036e-01	1.443845e+10	
omp	4	100	1000	10000	2.792779e+01	9.927205e+01	1.900957e-03	8.717685e+01	7.023500e-01	1.710584e+10	
pth	4	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	7.005925e-01	1.714875e+10	
omp	4	1000	100	10000	2.012168e+01	9.709574e+01	1.611490e-03	7.191693e+01	6.469580e-01	1.857043e+10	
pth	4	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.358187e+00	1.769165e+10	
omp	4	100	2000	10000	2.247003e+01	9.919370e+01	1.660900e-03	8.831761e+01	1.343459e+00	1.788560e+10	
pth	4	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.090224e+00	2.204002e+10	
omp	4	2000	100	10000	1.965332e+01	9.838499e+01	1.786453e-03	7.190366e+01	1.185938e+00	2.026124e+10	
pth	4	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	4.083187e+00	2.942380e+10	
omp	4	1000	1000	10000	1.873976e+01	9.937890e+01	1.917284e-03	8.707111e+01	4.817043e+00	2.494121e+10	
pth	4	2000	2000	10000	1.870801e+01	9.952850e+01	1.988695e-03	8.808791e+01	8.383320e+01	5.732471e+09	
